16.32;0.023;0.37;-0.37;0.043;0.07;16.24;529.60;0.19;0.04;0.09;0.00;0.023;3.244;0.000;0.000;0.000
129.64;0.044;5.71;3.04;4.834;0.00;17.76;371296.38;0.64;0.33;0.16;0.00;0.022;109.182;0.000;0.000;0.000
129.66;0.044;5.70;3.01;4.835;0.00;17.69;371513.50;0.09;0.35;0.10;0.00;0.022;108.958;0.000;0.000;0.000
129.81;0.043;5.61;2.94;4.778;0.00;18.13;371224.31;0.35;0.15;0.68;0.00;0.022;106.485;0.000;0.000;0.000
130.13;0.043;5.60;2.94;4.759;0.00;18.03;372222.50;0.46;0.59;0.45;0.00;0.022;105.754;0.000;0.000;0.000
129.97;0.042;5.45;2.84;4.643;0.00;17.97;371905.91;0.25;0.31;0.31;0.00;0.022;101.822;0.000;0.000;0.000
129.94;0.040;5.23;2.73;4.461;0.00;17.91;371908.16;0.34;0.22;0.36;0.00;0.022;96.298;0.000;0.000;0.000
130.07;0.041;5.28;2.76;4.494;0.00;17.94;372254.19;0.44;0.46;0.45;0.00;0.022;97.344;0.000;0.000;0.000
130.02;0.041;5.27;2.77;4.486;0.00;17.79;372080.19;0.51;0.39;0.05;0.00;0.022;97.419;0.000;0.000;0.000
130.15;0.041;5.29;2.77;4.499;0.00;18.01;372330.62;0.49;0.27;0.27;0.00;0.022;97.488;0.000;0.000;0.000
130.14;0.040;5.23;2.74;4.462;0.00;17.96;372234.62;0.44;0.40;0.54;0.00;0.022;96.140;0.000;0.000;0.000
130.27;0.040;5.23;2.73;4.455;0.00;17.88;372726.34;0.21;0.52;0.28;0.00;0.022;95.840;0.000;0.000;0.000
130.19;0.040;5.23;2.74;4.453;0.00;17.84;372555.19;0.45;0.27;0.36;0.00;0.022;96.015;0.000;0.000;0.000
130.01;0.040;5.21;2.72;4.445;0.00;17.85;372027.62;0.21;0.12;0.16;0.00;0.022;95.660;0.000;0.000;0.000
130.23;0.040;5.23;2.73;4.459;0.00;17.90;372618.69;0.09;0.42;0.24;0.00;0.022;95.862;0.000;0.000;0.000
130.08;0.040;5.22;2.73;4.450;0.00;17.75;372286.28;0.15;0.39;0.14;0.00;0.022;95.834;0.000;0.000;0.000
130.14;0.040;5.22;2.72;4.450;0.00;17.79;372442.44;0.13;0.31;0.21;0.00;0.022;95.692;0.000;0.000;0.000
130.12;0.040;5.23;2.73;4.459;0.00;17.79;372330.91;0.10;0.34;0.47;0.00;0.022;96.025;0.000;0.000;0.000
130.05;0.040;5.22;2.72;4.451;0.00;17.79;372229.84;0.25;0.40;0.30;0.00;0.022;95.868;0.000;0.000;0.000
129.98;0.040;5.20;2.71;4.442;0.00;17.83;371952.41;0.49;0.23;0.35;0.00;0.022;95.567;0.000;0.000;0.000
129.88;0.040;5.23;2.73;4.462;0.00;17.71;371797.41;0.30;0.28;0.24;0.00;0.022;96.427;0.000;0.000;0.000
129.76;0.040;5.22;2.72;4.450;0.00;17.82;371311.12;0.37;0.21;0.35;0.00;0.022;96.149;0.000;0.000;0.000
129.94;0.040;5.24;2.73;4.464;0.00;17.81;371929.94;0.33;0.17;0.12;0.00;0.022;96.516;0.000;0.000;0.000
129.82;0.040;5.22;2.73;4.453;0.00;17.73;371580.88;0.20;0.22;0.19;0.00;0.022;96.298;0.000;0.000;0.000
129.83;0.040;5.23;2.72;4.460;0.00;17.78;371582.75;0.30;0.30;0.33;0.00;0.022;96.377;0.000;0.000;0.000
129.72;0.040;5.19;2.70;4.437;0.00;17.87;371171.56;0.59;0.28;0.16;0.00;0.022;95.679;0.000;0.000;0.000
129.79;0.040;5.19;2.69;4.437;0.00;17.88;371397.72;0.50;0.31;0.24;0.00;0.022;95.507;0.000;0.000;0.000
129.70;0.040;5.20;2.71;4.443;0.00;17.89;371135.56;0.45;0.15;0.26;0.00;0.022;96.016;0.000;0.000;0.000
129.69;0.040;5.19;2.69;4.435;0.00;17.93;371084.44;0.50;0.26;0.16;0.00;0.022;95.480;0.000;0.000;0.000
129.66;0.040;5.16;2.68;4.414;0.00;17.95;370989.06;0.80;0.52;0.20;0.00;0.022;95.053;0.000;0.000;0.000
